constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year,constructorRef,Season_Total_Points,Points_Share,Total_Races,Win_Share,Car_Dominance_Score,Car_Dominance_V2
13918,17,23,172.0,1,1,8,2009,brawn,643.5,0.26728826728826727,17,0.47058823529411764,0.3892682480917775,0.419763243292655
13926,17,9,153.5,2,2,6,2009,red_bull,643.5,0.23853923853923853,17,0.35294117647058826,0.30718040129804836,0.32434069198775084
13925,17,2,36.0,6,6,0,2009,bmw_sauber,643.5,0.055944055944055944,17,0.0,0.022377622377622378,0.013986013986013986
13924,17,10,13.0,9,9,0,2009,force_india,643.5,0.020202020202020204,17,0.0,0.008080808080808083,0.005050505050505051
13923,17,5,8.0,10,10,0,2009,toro_rosso,643.5,0.012432012432012432,17,0.0,0.004972804972804973,0.003108003108003108
13922,17,3,34.5,7,7,0,2009,williams,643.5,0.053613053613053616,17,0.0,0.021445221445221447,0.013403263403263404
13921,17,4,26.0,8,8,0,2009,renault,643.5,0.04040404040404041,17,0.0,0.016161616161616165,0.010101010101010102
13920,17,7,59.5,5,5,0,2009,toyota,643.5,0.09246309246309246,17,0.0,0.03698523698523699,0.023115773115773116
13927,17,6,70.0,4,4,1,2009,ferrari,643.5,0.10878010878010878,17,0.058823529411764705,0.07880616115910234,0.07131267425385072
13919,17,1,71.0,3,3,2,2009,mclaren,643.5,0.11033411033411034,17,0.11764705882352941,0.11472187942776178,0.11581882170117463
183,35,1,151.0,2,2,6,2008,mclaren,702.0,0.2150997150997151,18,0.3333333333333333,0.28603988603988606,0.3037749287749288
193,35,8,0.0,11,11,0,2008,super_aguri,702.0,0.0,18,0.0,0.0,0.0
191,35,11,14.0,9,9,0,2008,honda,702.0,0.019943019943019943,18,0.0,0.007977207977207978,0.004985754985754986
190,35,9,29.0,7,7,0,2008,red_bull,702.0,0.04131054131054131,18,0.0,0.016524216524216522,0.010327635327635327
189,35,7,56.0,5,5,0,2008,toyota,702.0,0.07977207977207977,18,0.0,0.03190883190883191,0.019943019943019943
188,35,6,172.0,1,1,8,2008,ferrari,702.0,0.245014245014245,18,0.4444444444444444,0.3646723646723647,0.39458689458689455
192,35,10,0.0,10,10,0,2008,force_india,702.0,0.0,18,0.0,0.0,0.0
186,35,4,80.0,4,4,2,2008,renault,702.0,0.11396011396011396,18,0.1111111111111111,0.11225071225071226,0.11182336182336182
185,35,3,26.0,8,8,0,2008,williams,702.0,0.037037037037037035,18,0.0,0.014814814814814815,0.009259259259259259
184,35,2,135.0,3,3,1,2008,bmw_sauber,702.0,0.19230769230769232,18,0.05555555555555555,0.11025641025641025,0.08974358974358974
187,35,5,39.0,6,6,1,2008,toro_rosso,702.0,0.05555555555555555,18,0.05555555555555555,0.05555555555555555,0.05555555555555555
25914,52,7,13.0,6,6,0,2007,toyota,663.0,0.0196078431372549,17,0.0,0.00784313725490196,0.004901960784313725
25909,52,6,204.0,1,1,9,2007,ferrari,663.0,0.3076923076923077,17,0.5294117647058824,0.4407239819004525,0.4739819004524887
25915,52,11,6.0,8,8,0,2007,honda,663.0,0.00904977375565611,17,0.0,0.003619909502262444,0.0022624434389140274
25919,52,12,1.0,10,10,0,2007,spyker,663.0,0.0015082956259426848,17,0.0,0.0006033182503770739,0.0003770739064856712
25916,52,8,4.0,9,9,0,2007,super_aguri,663.0,0.006033182503770739,17,0.0,0.0024132730015082957,0.0015082956259426848
25918,52,5,8.0,7,7,0,2007,toro_rosso,663.0,0.012066365007541479,17,0.0,0.0048265460030165915,0.0030165912518853697
25917,52,9,24.0,5,5,0,2007,red_bull,663.0,0.03619909502262444,17,0.0,0.014479638009049776,0.00904977375565611
25913,52,3,33.0,4,4,0,2007,williams,663.0,0.049773755656108594,17,0.0,0.019909502262443438,0.012443438914027148
25912,52,4,51.0,3,3,0,2007,renault,663.0,0.07692307692307693,17,0.0,0.03076923076923077,0.019230769230769232
25911,52,2,101.0,2,2,0,2007,bmw_sauber,663.0,0.15233785822021115,17,0.0,0.06093514328808446,0.03808446455505279
25910,52,1,218.0,11,E,8,2007,mclaren,663.0,0.3288084464555053,17,0.47058823529411764,0.4138763197586727,0.4351432880844645
6510,70,11,86.0,4,4,1,2006,honda,702.0,0.1225071225071225,18,0.05555555555555555,0.08233618233618234,0.07229344729344729
6508,70,6,201.0,2,2,9,2006,ferrari,702.0,0.2863247863247863,18,0.5,0.4145299145299145,0.44658119658119655
6518,70,14,0.0,12,12,0,2006,spyker_mf1,702.0,0.0,18,0.0,0.0,0.0
6507,70,4,206.0,1,1,8,2006,renault,702.0,0.2934472934472934,18,0.4444444444444444,0.38404558404558403,0.40669515669515666
6509,70,1,110.0,3,3,0,2006,mclaren,702.0,0.15669515669515668,18,0.0,0.06267806267806268,0.03917378917378917
6512,70,9,16.0,7,7,0,2006,red_bull,702.0,0.022792022792022793,18,0.0,0.009116809116809118,0.005698005698005698
6513,70,5,1.0,9,9,0,2006,toro_rosso,702.0,0.0014245014245014246,18,0.0,0.0005698005698005699,0.00035612535612535614
6511,70,3,11.0,8,8,0,2006,williams,702.0,0.01566951566951567,18,0.0,0.006267806267806268,0.003917378917378918
6515,70,7,35.0,6,6,0,2006,toyota,702.0,0.04985754985754986,18,0.0,0.019943019943019946,0.012464387464387465
6516,70,13,0.0,10,10,0,2006,mf1,702.0,0.0,18,0.0,0.0,0.0
6514,70,2,36.0,5,5,0,2006,bmw_sauber,702.0,0.05128205128205128,18,0.0,0.020512820512820513,0.01282051282051282
6517,70,8,0.0,11,11,0,2006,super_aguri,702.0,0.0,18,0.0,0.0,0.0
28124,89,6,100.0,3,3,1,2005,ferrari,738.0,0.13550135501355012,19,0.05263157894736842,0.0857794893738411,0.07334902296391385
28125,89,9,34.0,7,7,0,2005,red_bull,738.0,0.04607046070460705,19,0.0,0.01842818428184282,0.011517615176151762
28126,89,3,66.0,5,5,0,2005,williams,738.0,0.08943089430894309,19,0.0,0.03577235772357724,0.022357723577235773
28127,89,1,182.0,2,2,10,2005,mclaren,738.0,0.24661246612466126,19,0.5263157894736842,0.41443446013407503,0.4563899586364285
28123,89,4,191.0,1,1,8,2005,renault,738.0,0.2588075880758808,19,0.42105263157894735,0.3561546141777207,0.38049137070318073
28129,89,15,20.0,8,8,0,2005,sauber,738.0,0.02710027100271003,19,0.0,0.010840108401084013,0.006775067750677507
28130,89,16,38.0,6,6,0,2005,bar,738.0,0.051490514905149054,19,0.0,0.020596205962059622,0.012872628726287264
28131,89,17,12.0,9,9,0,2005,jordan,738.0,0.016260162601626018,19,0.0,0.006504065040650407,0.0040650406504065045
28132,89,18,7.0,10,10,0,2005,minardi,738.0,0.009485094850948509,19,0.0,0.003794037940379404,0.0023712737127371273
28128,89,7,88.0,4,4,0,2005,toyota,738.0,0.11924119241192412,19,0.0,0.04769647696476965,0.02981029810298103
6307,107,6,262.0,1,1,15,2004,ferrari,702.0,0.3732193732193732,18,0.8333333333333334,0.6492877492877493,0.7183048433048433
6309,107,3,88.0,4,4,1,2004,williams,702.0,0.12535612535612536,18,0.05555555555555555,0.08347578347578348,0.073005698005698
6310,107,16,119.0,2,2,0,2004,bar,702.0,0.16951566951566951,18,0.0,0.0678062678062678,0.04237891737891738
6311,107,1,69.0,5,5,1,2004,mclaren,702.0,0.09829059829059829,18,0.05555555555555555,0.07264957264957264,0.06623931623931624
6308,107,4,105.0,3,3,1,2004,renault,702.0,0.14957264957264957,18,0.05555555555555555,0.09316239316239316,0.07905982905982906
6313,107,19,10.0,7,7,0,2004,jaguar,702.0,0.014245014245014245,18,0.0,0.005698005698005698,0.0035612535612535613
6314,107,7,9.0,8,8,0,2004,toyota,702.0,0.01282051282051282,18,0.0,0.005128205128205128,0.003205128205128205
6315,107,17,5.0,9,9,0,2004,jordan,702.0,0.007122507122507123,18,0.0,0.002849002849002849,0.0017806267806267807
6316,107,18,1.0,10,10,0,2004,minardi,702.0,0.0014245014245014246,18,0.0,0.0005698005698005699,0.00035612535612535614
6312,107,15,34.0,6,6,0,2004,sauber,702.0,0.04843304843304843,18,0.0,0.019373219373219373,0.012108262108262107
6132,123,15,19.0,6,6,0,2003,sauber,624.0,0.030448717948717948,16,0.0,0.01217948717948718,0.007612179487179487
6128,123,1,142.0,3,3,2,2003,mclaren,624.0,0.22756410256410256,16,0.125,0.16602564102564105,0.15064102564102563
6129,123,3,144.0,2,2,4,2003,williams,624.0,0.23076923076923078,16,0.25,0.2423076923076923,0.2451923076923077
6130,123,6,158.0,1,1,8,2003,ferrari,624.0,0.2532051282051282,16,0.5,0.4012820512820513,0.43830128205128205
6133,123,16,26.0,5,5,0,2003,bar,624.0,0.041666666666666664,16,0.0,0.016666666666666666,0.010416666666666666
6131,123,4,88.0,4,4,1,2003,renault,624.0,0.14102564102564102,16,0.0625,0.09391025641025641,0.08213141025641026
6135,123,17,13.0,9,9,1,2003,jordan,624.0,0.020833333333333332,16,0.0625,0.04583333333333333,0.052083333333333336
6136,123,7,16.0,8,8,0,2003,toyota,624.0,0.02564102564102564,16,0.0,0.010256410256410256,0.00641025641025641
6137,123,19,18.0,7,7,0,2003,jaguar,624.0,0.028846153846153848,16,0.0,0.011538461538461539,0.007211538461538462
6134,123,18,0.0,10,10,0,2003,minardi,624.0,0.0,16,0.0,0.0,0.0
5981,140,21,2.0,11,11,0,2002,arrows,442.0,0.004524886877828055,17,0.0,0.001809954751131222,0.0011312217194570137
5980,140,17,9.0,6,6,0,2002,jordan,442.0,0.020361990950226245,17,0.0,0.008144796380090498,0.005090497737556561
5972,140,3,92.0,2,2,1,2002,williams,442.0,0.2081447963800905,17,0.058823529411764705,0.11855203619909503,0.09615384615384615
5973,140,1,65.0,3,3,1,2002,mclaren,442.0,0.14705882352941177,17,0.058823529411764705,0.09411764705882353,0.08088235294117646
5974,140,19,8.0,7,7,0,2002,jaguar,442.0,0.01809954751131222,17,0.0,0.007239819004524888,0.004524886877828055
5975,140,18,2.0,9,9,0,2002,minardi,442.0,0.004524886877828055,17,0.0,0.001809954751131222,0.0011312217194570137
5971,140,6,221.0,1,1,15,2002,ferrari,442.0,0.5,17,0.8823529411764706,0.7294117647058824,0.7867647058823529
5977,140,4,23.0,4,4,0,2002,renault,442.0,0.05203619909502263,17,0.0,0.020814479638009052,0.013009049773755657
5978,140,15,11.0,5,5,0,2002,sauber,442.0,0.024886877828054297,17,0.0,0.009954751131221719,0.006221719457013574
5979,140,16,7.0,8,8,0,2002,bar,442.0,0.01583710407239819,17,0.0,0.006334841628959276,0.003959276018099547
5976,140,7,2.0,10,10,0,2002,toyota,442.0,0.004524886877828055,17,0.0,0.001809954751131222,0.0011312217194570137
5791,157,15,21.0,4,4,0,2001,sauber,442.0,0.04751131221719457,17,0.0,0.01900452488687783,0.011877828054298642
5789,157,6,179.0,1,1,9,2001,ferrari,442.0,0.40497737556561086,17,0.5294117647058824,0.4796380090497737,0.4983031674208145
5790,157,1,102.0,2,2,4,2001,mclaren,442.0,0.23076923076923078,17,0.23529411764705882,0.2334841628959276,0.2341628959276018
5793,157,16,17.0,6,6,0,2001,bar,442.0,0.038461538461538464,17,0.0,0.015384615384615385,0.009615384615384616
5794,157,19,9.0,8,8,0,2001,jaguar,442.0,0.020361990950226245,17,0.0,0.008144796380090498,0.005090497737556561
5792,157,17,19.0,5,5,0,2001,jordan,442.0,0.042986425339366516,17,0.0,0.017194570135746608,0.010746606334841629
5796,157,21,1.0,10,10,0,2001,arrows,442.0,0.0022624434389140274,17,0.0,0.000904977375565611,0.0005656108597285068
5797,157,18,0.0,11,11,0,2001,minardi,442.0,0.0,17,0.0,0.0,0.0
5798,157,22,10.0,7,7,0,2001,benetton,442.0,0.02262443438914027,17,0.0,0.00904977375565611,0.005656108597285068
5799,157,3,80.0,3,3,4,2001,williams,442.0,0.18099547511312217,17,0.23529411764705882,0.21357466063348418,0.22171945701357465
5795,157,20,4.0,9,9,0,2001,prost,442.0,0.00904977375565611,17,0.0,0.003619909502262444,0.0022624434389140274
1622,174,6,170.0,1,1,10,2000,ferrari,442.0,0.38461538461538464,17,0.5882352941176471,0.5067873303167421,0.5373303167420814
1623,174,3,36.0,3,3,0,2000,williams,442.0,0.08144796380090498,17,0.0,0.03257918552036199,0.020361990950226245
1624,174,16,20.0,5,5,0,2000,bar,442.0,0.04524886877828054,17,0.0,0.01809954751131222,0.011312217194570135
1625,174,22,20.0,4,4,0,2000,benetton,442.0,0.04524886877828054,17,0.0,0.01809954751131222,0.011312217194570135
1626,174,18,0.0,10,10,0,2000,minardi,442.0,0.0,17,0.0,0.0,0.0
1627,174,20,0.0,11,11,0,2000,prost,442.0,0.0,17,0.0,0.0,0.0
1628,174,17,17.0,6,6,0,2000,jordan,442.0,0.038461538461538464,17,0.0,0.015384615384615385,0.009615384615384616
1629,174,21,7.0,7,7,0,2000,arrows,442.0,0.01583710407239819,17,0.0,0.006334841628959276,0.003959276018099547
1630,174,1,162.0,2,2,7,2000,mclaren,442.0,0.3665158371040724,17,0.4117647058823529,0.3936651583710407,0.4004524886877828
1631,174,15,6.0,8,8,0,2000,sauber,442.0,0.013574660633484163,17,0.0,0.005429864253393666,0.003393665158371041
1632,174,19,4.0,9,9,0,2000,jaguar,442.0,0.00904977375565611,17,0.0,0.003619909502262444,0.0022624434389140274
5605,190,3,35.0,5,5,0,1999,williams,416.0,0.08413461538461539,16,0.0,0.03365384615384616,0.021033653846153848
5606,190,22,16.0,6,6,0,1999,benetton,416.0,0.038461538461538464,16,0.0,0.015384615384615385,0.009615384615384616
5603,190,6,128.0,1,1,6,1999,ferrari,416.0,0.3076923076923077,16,0.375,0.34807692307692306,0.3581730769230769
5604,190,17,61.0,3,3,2,1999,jordan,416.0,0.1466346153846154,16,0.125,0.13365384615384615,0.13040865384615385
5607,190,24,36.0,4,4,1,1999,stewart,416.0,0.08653846153846154,16,0.0625,0.07211538461538461,0.06850961538461539
5610,190,20,9.0,7,7,0,1999,prost,416.0,0.021634615384615384,16,0.0,0.008653846153846154,0.005408653846153846
5609,190,1,124.0,2,2,7,1999,mclaren,416.0,0.2980769230769231,16,0.4375,0.38173076923076926,0.4026442307692308
5611,190,18,1.0,10,10,0,1999,minardi,416.0,0.002403846153846154,16,0.0,0.0009615384615384616,0.0006009615384615385
5612,190,15,5.0,8,8,0,1999,sauber,416.0,0.01201923076923077,16,0.0,0.004807692307692308,0.0030048076923076925
5613,190,16,0.0,11,11,0,1999,bar,416.0,0.0,16,0.0,0.0,0.0
5608,190,21,1.0,9,9,0,1999,arrows,416.0,0.002403846153846154,16,0.0,0.0009615384615384616,0.0006009615384615385
2222,206,21,6.0,7,7,0,1998,arrows,416.0,0.014423076923076924,16,0.0,0.0057692307692307696,0.003605769230769231
2221,206,18,0.0,10,10,0,1998,minardi,416.0,0.0,16,0.0,0.0,0.0
2220,206,25,0.0,11,11,0,1998,tyrrell,416.0,0.0,16,0.0,0.0,0.0
2219,206,24,5.0,8,8,0,1998,stewart,416.0,0.01201923076923077,16,0.0,0.004807692307692308,0.0030048076923076925
2218,206,20,1.0,9,9,0,1998,prost,416.0,0.002403846153846154,16,0.0,0.0009615384615384616,0.0006009615384615385
2214,206,6,133.0,2,2,6,1998,ferrari,416.0,0.31971153846153844,16,0.375,0.35288461538461535,0.3611778846153846
2216,206,22,33.0,5,5,0,1998,benetton,416.0,0.07932692307692307,16,0.0,0.03173076923076923,0.019831730769230768
2215,206,15,10.0,6,6,0,1998,sauber,416.0,0.02403846153846154,16,0.0,0.009615384615384616,0.006009615384615385
2213,206,3,38.0,3,3,0,1998,williams,416.0,0.09134615384615384,16,0.0,0.03653846153846154,0.02283653846153846
2212,206,1,156.0,1,1,9,1998,mclaren,416.0,0.375,16,0.5625,0.4875,0.515625
2217,206,17,34.0,4,4,1,1998,jordan,416.0,0.08173076923076923,16,0.0625,0.07019230769230769,0.0673076923076923
25491,223,15,16.0,7,7,0,1997,sauber,442.0,0.03619909502262444,17,0.0,0.014479638009049776,0.00904977375565611
25488,223,6,102.0,2,2,5,1997,ferrari,442.0,0.23076923076923078,17,0.29411764705882354,0.26877828054298647,0.27828054298642535
25487,223,1,63.0,4,4,3,1997,mclaren,442.0,0.1425339366515837,17,0.17647058823529413,0.16289592760180996,0.16798642533936653
25489,223,22,67.0,3,3,1,1997,benetton,442.0,0.1515837104072398,17,0.058823529411764705,0.09592760180995474,0.08201357466063347
25490,223,20,21.0,6,6,0,1997,prost,442.0,0.04751131221719457,17,0.0,0.01900452488687783,0.011877828054298642
25492,223,3,123.0,1,1,8,1997,williams,442.0,0.27828054298642535,17,0.47058823529411764,0.3936651583710407,0.4225113122171945
25497,223,17,33.0,5,5,0,1997,jordan,442.0,0.0746606334841629,17,0.0,0.02986425339366516,0.018665158371040724
25494,223,21,9.0,8,8,0,1997,arrows,442.0,0.020361990950226245,17,0.0,0.008144796380090498,0.005090497737556561
25495,223,24,6.0,9,9,0,1997,stewart,442.0,0.013574660633484163,17,0.0,0.005429864253393666,0.003393665158371041
25496,223,25,2.0,10,10,0,1997,tyrrell,442.0,0.004524886877828055,17,0.0,0.001809954751131222,0.0011312217194570137
25498,223,26,0.0,12,12,0,1997,lola,442.0,0.0,17,0.0,0.0,0.0
25493,223,18,0.0,11,11,0,1997,minardi,442.0,0.0,17,0.0,0.0,0.0
2580,239,3,175.0,1,1,12,1996,williams,416.0,0.4206730769230769,16,0.75,0.6182692307692308,0.6676682692307693
2581,239,6,70.0,2,2,3,1996,ferrari,416.0,0.16826923076923078,16,0.1875,0.1798076923076923,0.1826923076923077
2582,239,22,68.0,3,3,0,1996,benetton,416.0,0.16346153846153846,16,0.0,0.06538461538461539,0.040865384615384616
2583,239,1,49.0,4,4,0,1996,mclaren,416.0,0.11778846153846154,16,0.0,0.047115384615384615,0.029447115384615384
2584,239,25,5.0,8,8,0,1996,tyrrell,416.0,0.01201923076923077,16,0.0,0.004807692307692308,0.0030048076923076925
2585,239,27,15.0,6,6,1,1996,ligier,416.0,0.036057692307692304,16,0.0625,0.05192307692307692,0.05588942307692307
2586,239,15,11.0,7,7,0,1996,sauber,416.0,0.026442307692307692,16,0.0,0.010576923076923078,0.006610576923076923
2587,239,29,1.0,9,9,0,1996,footwork,416.0,0.002403846153846154,16,0.0,0.0009615384615384616,0.0006009615384615385
2588,239,18,0.0,10,10,0,1996,minardi,416.0,0.0,16,0.0,0.0,0.0
2589,239,28,0.0,11,11,0,1996,forti,416.0,0.0,16,0.0,0.0,0.0
2590,239,17,22.0,5,5,0,1996,jordan,416.0,0.052884615384615384,16,0.0,0.021153846153846155,0.013221153846153846
5241,256,25,5.0,9,9,0,1995,tyrrell,442.0,0.011312217194570135,17,0.0,0.004524886877828055,0.002828054298642534
5237,256,22,147.0,1,1,11,1995,benetton,442.0,0.332579185520362,17,0.6470588235294118,0.5212669683257919,0.5684389140271494
5238,256,3,118.0,2,2,5,1995,williams,442.0,0.2669683257918552,17,0.29411764705882354,0.2832579185520362,0.2873303167420814
5239,256,6,73.0,3,3,1,1995,ferrari,442.0,0.16515837104072398,17,0.058823529411764705,0.10135746606334842,0.08540723981900453
5240,256,1,30.0,4,4,0,1995,mclaren,442.0,0.06787330316742081,17,0.0,0.027149321266968326,0.016968325791855202
5242,256,27,24.0,5,5,0,1995,ligier,442.0,0.05429864253393665,17,0.0,0.021719457013574663,0.013574660633484163
5246,256,31,0.0,13,13,0,1995,simtek,442.0,0.0,17,0.0,0.0,0.0
5244,256,28,0.0,11,11,0,1995,forti,442.0,0.0,17,0.0,0.0,0.0
5245,256,15,18.0,7,7,0,1995,sauber,442.0,0.04072398190045249,17,0.0,0.016289592760180997,0.010180995475113122
5247,256,17,21.0,6,6,0,1995,jordan,442.0,0.04751131221719457,17,0.0,0.01900452488687783,0.011877828054298642
5248,256,18,1.0,10,10,0,1995,minardi,442.0,0.0022624434389140274,17,0.0,0.000904977375565611,0.0005656108597285068
5249,256,29,5.0,8,8,0,1995,footwork,442.0,0.011312217194570135,17,0.0,0.004524886877828055,0.002828054298642534
5243,256,30,0.0,12,12,0,1995,pacific,442.0,0.0,17,0.0,0.0,0.0
25504,272,15,12.0,8,8,0,1994,sauber,416.0,0.028846153846153848,16,0.0,0.011538461538461539,0.007211538461538462
25499,272,22,103.0,2,2,8,1994,benetton,416.0,0.24759615384615385,16,0.5,0.39903846153846156,0.43689903846153844
